"","V2","V3","V4","V5","V6","V7","V8","Decyzja"
"1","49  0","29  0","48  0","50  0","56  0","24  0","35   cp","AAT_ECOLI   0"
"2","07  0","40  0","48  0","50  0","54  0","35  0","44   cp","ACEA_ECOLI  0"
"3","56  0","40  0","48  0","50  0","49  0","37  0","46   cp","ACEK_ECOLI  0"
"4","59  0","49  0","48  0","50  0","52  0","45  0","36   cp","ACKA_ECOLI  0"
"5","23  0","32  0","48  0","50  0","55  0","25  0","35   cp","ADI_ECOLI   0"
"6","67  0","39  0","48  0","50  0","36  0","38  0","46   cp","ALKH_ECOLI  0"
"7","29  0","28  0","48  0","50  0","44  0","23  0","34   cp","AMPD_ECOLI  0"
"8","21  0","34  0","48  0","50  0","51  0","28  0","39   cp","AMY2_ECOLI  0"
"9","20  0","44  0","48  0","50  0","46  0","51  0","57   cp","APT_ECOLI   0"
"10","42  0","40  0","48  0","50  0","56  0","18  0","30   cp","ARAC_ECOLI  0"
"11","42  0","24  0","48  0","50  0","57  0","27  0","37   cp","ASG1_ECOLI  0"
"12","25  0","48  0","48  0","50  0","44  0","17  0","29   cp","BTUR_ECOLI  0"
"13","39  0","32  0","48  0","50  0","46  0","24  0","35   cp","CAFA_ECOLI  0"
"14","51  0","50  0","48  0","50  0","46  0","32  0","35   cp","CAIB_ECOLI  0"
"15","22  0","43  0","48  0","50  0","48  0","16  0","28   cp","CFA_ECOLI   0"
"16","25  0","40  0","48  0","50  0","46  0","44  0","52   cp","CHEA_ECOLI  0"
"17","34  0","45  0","48  0","50  0","38  0","24  0","35   cp","CHEB_ECOLI  0"
"18","44  0","27  0","48  0","50  0","55  0","52  0","58   cp","CHEW_ECOLI  0"
"19","23  0","40  0","48  0","50  0","39  0","28  0","38   cp","CHEY_ECOLI  0"
"20","41  0","57  0","48  0","50  0","39  0","21  0","32   cp","CHEZ_ECOLI  0"
"21","40  0","45  0","48  0","50  0","38  0","22  0","00   cp","CRL_ECOLI   0"
"22","31  0","23  0","48  0","50  0","73  0","05  0","14   cp","CSPA_ECOLI  0"
"23","51  0","54  0","48  0","50  0","41  0","34  0","43   cp","CYNR_ECOLI  0"
"24","30  0","16  0","48  0","50  0","56  0","11  0","23   cp","CYPB_ECOLI  0"
"25","36  0","39  0","48  0","50  0","48  0","22  0","23   cp","CYPC_ECOLI  0"
"26","29  0","37  0","48  0","50  0","48  0","44  0","52   cp","CYSB_ECOLI  0"
"27","25  0","40  0","48  0","50  0","47  0","33  0","42   cp","CYSE_ECOLI  0"
"28","21  0","51  0","48  0","50  0","50  0","32  0","41   cp","DAPD_ECOLI  0"
"29","43  0","37  0","48  0","50  0","53  0","35  0","44   cp","DCP_ECOLI   0"
"30","43  0","39  0","48  0","50  0","47  0","31  0","41   cp","DDLA_ECOLI  0"
"31","53  0","38  0","48  0","50  0","44  0","26  0","36   cp","DDLB_ECOLI  0"
"32","34  0","33  0","48  0","50  0","38  0","35  0","44   cp","DEOC_ECOLI  0"
"33","56  0","51  0","48  0","50  0","34  0","37  0","46   cp","DLDH_ECOLI  0"
"34","40  0","29  0","48  0","50  0","42  0","35  0","44   cp","EFG_ECOLI   0"
"35","24  0","35  0","48  0","50  0","31  0","19  0","31   cp","EFTS_ECOLI  0"
"36","36  0","54  0","48  0","50  0","41  0","38  0","46   cp","EFTU_ECOLI  0"
"37","29  0","52  0","48  0","50  0","42  0","29  0","39   cp","ENO_ECOLI   0"
"38","65  0","47  0","48  0","50  0","59  0","30  0","40   cp","FABB_ECOLI  0"
"39","32  0","42  0","48  0","50  0","35  0","28  0","38   cp","FES_ECOLI   0"
"40","38  0","46  0","48  0","50  0","48  0","22  0","29   cp","G3P1_ECOLI  0"
"41","33  0","45  0","48  0","50  0","52  0","32  0","41   cp","G3P2_ECOLI  0"
"42","30  0","37  0","48  0","50  0","59  0","41  0","49   cp","G6PI_ECOLI  0"
"43","40  0","50  0","48  0","50  0","45  0","39  0","47   cp","GCVA_ECOLI  0"
"44","28  0","38  0","48  0","50  0","50  0","33  0","42   cp","GLNA_ECOLI  0"
"45","61  0","45  0","48  0","50  0","48  0","35  0","41   cp","GLPD_ECOLI  0"
"46","17  0","38  0","48  0","50  0","45  0","42  0","50   cp","GLYA_ECOLI  0"
"47","44  0","35  0","48  0","50  0","55  0","55  0","61   cp","GSHR_ECOLI  0"
"48","43  0","40  0","48  0","50  0","39  0","28  0","39   cp","GT_ECOLI    0"
"49","42  0","35  0","48  0","50  0","58  0","15  0","27   cp","HEM6_ECOLI  0"
"50","23  0","33  0","48  0","50  0","43  0","33  0","43   cp","HEMN_ECOLI  0"
"51","37  0","52  0","48  0","50  0","42  0","42  0","36   cp","HPRT_ECOLI  0"
"52","29  0","30  0","48  0","50  0","45  0","03  0","17   cp","IF1_ECOLI   0"
"53","22  0","36  0","48  0","50  0","35  0","39  0","47   cp","IF2_ECOLI   0"
"54","23  0","58  0","48  0","50  0","37  0","53  0","59   cp","ILVY_ECOLI  0"
"55","47  0","47  0","48  0","50  0","22  0","16  0","26   cp","IPYR_ECOLI  0"
"56","54  0","47  0","48  0","50  0","28  0","33  0","42   cp","KAD_ECOLI   0"
"57","51  0","37  0","48  0","50  0","35  0","36  0","45   cp","KDSA_ECOLI  0"
"58","40  0","35  0","48  0","50  0","45  0","33  0","42   cp","LEU3_ECOLI  0"
"59","44  0","34  0","48  0","50  0","30  0","33  0","43   cp","LON_ECOLI   0"
"60","42  0","38  0","48  0","50  0","54  0","34  0","43   cp","LPLA_ECOLI  0"
"61","44  0","56  0","48  0","50  0","50  0","46  0","54   cp","LYSR_ECOLI  0"
"62","52  0","36  0","48  0","50  0","41  0","28  0","38   cp","MALQ_ECOLI  0"
"63","36  0","41  0","48  0","50  0","48  0","47  0","54   cp","MALZ_ECOLI  0"
"64","18  0","30  0","48  0","50  0","46  0","24  0","35   cp","MASY_ECOLI  0"
"65","47  0","29  0","48  0","50  0","51  0","33  0","43   cp","METB_ECOLI  0"
"66","24  0","43  0","48  0","50  0","54  0","52  0","59   cp","METC_ECOLI  0"
"67","25  0","37  0","48  0","50  0","41  0","33  0","42   cp","METK_ECOLI  0"
"68","52  0","57  0","48  0","50  0","42  0","47  0","54   cp","METR_ECOLI  0"
"69","25  0","37  0","48  0","50  0","43  0","26  0","36   cp","METX_ECOLI  0"
"70","35  0","48  0","48  0","50  0","56  0","40  0","48   cp","MURF_ECOLI  0"
"71","26  0","26  0","48  0","50  0","34  0","25  0","35   cp","NADA_ECOLI  0"
"72","44  0","51  0","48  0","50  0","47  0","26  0","36   cp","NFRC_ECOLI  0"
"73","37  0","50  0","48  0","50  0","42  0","36  0","45   cp","NHAR_ECOLI  0"
"74","44  0","42  0","48  0","50  0","42  0","25  0","20   cp","NIRD_ECOLI  0"
"75","24  0","43  0","48  0","50  0","37  0","28  0","38   cp","OMPR_ECOLI  0"
"76","42  0","30  0","48  0","50  0","48  0","26  0","36   cp","OTC1_ECOLI  0"
"77","48  0","42  0","48  0","50  0","45  0","25  0","35   cp","OTC2_ECOLI  0"
"78","41  0","48  0","48  0","50  0","51  0","44  0","51   cp","PEPE_ECOLI  0"
"79","44  0","28  0","48  0","50  0","43  0","27  0","37   cp","PFLA_ECOLI  0"
"80","29  0","41  0","48  0","50  0","48  0","38  0","46   cp","PFLB_ECOLI  0"
"81","34  0","28  0","48  0","50  0","41  0","35  0","44   cp","PGK_ECOLI   0"
"82","41  0","43  0","48  0","50  0","45  0","31  0","41   cp","PHOB_ECOLI  0"
"83","29  0","47  0","48  0","50  0","41  0","23  0","34   cp","PHOH_ECOLI  0"
"84","34  0","55  0","48  0","50  0","58  0","31  0","41   cp","PMBA_ECOLI  0"
"85","36  0","56  0","48  0","50  0","43  0","45  0","53   cp","PNP_ECOLI   0"
"86","40  0","46  0","48  0","50  0","52  0","49  0","56   cp","PROB_ECOLI  0"
"87","50  0","49  0","48  0","50  0","49  0","46  0","53   cp","PT1A_ECOLI  0"
"88","52  0","44  0","48  0","50  0","37  0","36  0","42   cp","PT1_ECOLI   0"
"89","50  0","51  0","48  0","50  0","27  0","23  0","34   cp","PTCA_ECOLI  0"
"90","53  0","42  0","48  0","50  0","16  0","29  0","39   cp","PTCB_ECOLI  0"
"91","34  0","46  0","48  0","50  0","52  0","35  0","44   cp","PTFA_ECOLI  0"
"92","40  0","42  0","48  0","50  0","37  0","27  0","27   cp","PTGA_ECOLI  0"
"93","41  0","43  0","48  0","50  0","50  0","24  0","25   cp","PTHA_ECOLI  0"
"94","30  0","45  0","48  0","50  0","36  0","21  0","32   cp","PTHP_ECOLI  0"
"95","31  0","47  0","48  0","50  0","29  0","28  0","39   cp","PTKA_ECOLI  0"
"96","64  0","76  0","48  0","50  0","45  0","35  0","38   cp","PTKB_ECOLI  0"
"97","35  0","37  0","48  0","50  0","30  0","34  0","43   cp","PTNA_ECOLI  0"
"98","57  0","54  0","48  0","50  0","37  0","28  0","33   cp","PTWB_ECOLI  0"
"99","65  0","55  0","48  0","50  0","34  0","37  0","28   cp","PTWX_ECOLI  0"
"100","51  0","46  0","48  0","50  0","58  0","31  0","41   cp","RHAR_ECOLI  0"
"101","38  0","40  0","48  0","50  0","63  0","25  0","35   cp","RHAS_ECOLI  0"
"102","24  0","57  0","48  0","50  0","63  0","34  0","43   cp","RIMI_ECOLI  0"
"103","38  0","26  0","48  0","50  0","54  0","16  0","28   cp","RIMJ_ECOLI  0"
"104","33  0","47  0","48  0","50  0","53  0","18  0","29   cp","RIML_ECOLI  0"
"105","24  0","34  0","48  0","50  0","38  0","30  0","40   cp","RNB_ECOLI   0"
"106","26  0","50  0","48  0","50  0","44  0","32  0","41   cp","RNC_ECOLI   0"
"107","44  0","49  0","48  0","50  0","39  0","38  0","40   cp","RND_ECOLI   0"
"108","43  0","32  0","48  0","50  0","33  0","45  0","52   cp","RNE_ECOLI   0"
"109","49  0","43  0","48  0","50  0","49  0","30  0","40   cp","SERC_ECOLI  0"
"110","47  0","28  0","48  0","50  0","56  0","20  0","25   cp","SLYD_ECOLI  0"
"111","32  0","33  0","48  0","50  0","60  0","06  0","20   cp","SOXS_ECOLI  0"
"112","34  0","35  0","48  0","50  0","51  0","49  0","56   cp","SYA_ECOLI   0"
"113","35  0","34  0","48  0","50  0","46  0","30  0","27   cp","SYC_ECOLI   0"
"114","38  0","30  0","48  0","50  0","43  0","29  0","39   cp","SYD_ECOLI   0"
"115","38  0","44  0","48  0","50  0","43  0","20  0","31   cp","SYE_ECOLI   0"
"116","41  0","51  0","48  0","50  0","58  0","20  0","31   cp","SYFA_ECOLI  0"
"117","34  0","42  0","48  0","50  0","41  0","34  0","43   cp","SYFB_ECOLI  0"
"118","51  0","49  0","48  0","50  0","53  0","14  0","26   cp","SYGA_ECOLI  0"
"119","25  0","51  0","48  0","50  0","37  0","42  0","50   cp","SYGB_ECOLI  0"
"120","29  0","28  0","48  0","50  0","50  0","42  0","50   cp","SYH_ECOLI   0"
"121","25  0","26  0","48  0","50  0","39  0","32  0","42   cp","SYI_ECOLI   0"
"122","24  0","41  0","48  0","50  0","49  0","23  0","34   cp","SYK1_ECOLI  0"
"123","17  0","39  0","48  0","50  0","53  0","30  0","39   cp","SYK2_ECOLI  0"
"124","04  0","31  0","48  0","50  0","41  0","29  0","39   cp","SYL_ECOLI   0"
"125","61  0","36  0","48  0","50  0","49  0","35  0","44   cp","SYM_ECOLI   0"
"126","34  0","51  0","48  0","50  0","44  0","37  0","46   cp","SYP_ECOLI   0"
"127","28  0","33  0","48  0","50  0","45  0","22  0","33   cp","SYQ_ECOLI   0"
"128","40  0","46  0","48  0","50  0","42  0","35  0","44   cp","SYR_ECOLI   0"
"129","23  0","34  0","48  0","50  0","43  0","26  0","37   cp","SYS_ECOLI   0"
"130","37  0","44  0","48  0","50  0","42  0","39  0","47   cp","SYT_ECOLI   0"
"131","00  0","38  0","48  0","50  0","42  0","48  0","55   cp","SYV_ECOLI   0"
"132","39  0","31  0","48  0","50  0","38  0","34  0","43   cp","SYW_ECOLI   0"
"133","30  0","44  0","48  0","50  0","49  0","22  0","33   cp","SYY_ECOLI   0"
"134","27  0","30  0","48  0","50  0","71  0","28  0","39   cp","THGA_ECOLI  0"
"135","17  0","52  0","48  0","50  0","49  0","37  0","46   cp","THIK_ECOLI  0"
"136","36  0","42  0","48  0","50  0","53  0","32  0","41   cp","TYRB_ECOLI  0"
"137","30  0","37  0","48  0","50  0","43  0","18  0","30   cp","UBIC_ECOLI  0"
"138","26  0","40  0","48  0","50  0","36  0","26  0","37   cp","UGPQ_ECOLI  0"
"139","40  0","41  0","48  0","50  0","55  0","22  0","33   cp","USPA_ECOLI  0"
"140","22  0","34  0","48  0","50  0","42  0","29  0","39   cp","UVRB_ECOLI  0"
"141","44  0","35  0","48  0","50  0","44  0","52  0","59   cp","UVRC_ECOLI  0"
"142","27  0","42  0","48  0","50  0","37  0","38  0","43   cp","XGPT_ECOLI  0"
"143","16  0","43  0","48  0","50  0","54  0","27  0","37   cp","XYLA_ECOLI  0"
"144","06  0","61  0","48  0","50  0","49  0","92  0","37   im","EMRA_ECOLI  0"
"145","44  0","52  0","48  0","50  0","43  0","47  0","54   im","AAS_ECOLI   0"
"146","63  0","47  0","48  0","50  0","51  0","82  0","84   im","AMPE_ECOLI  0"
"147","23  0","48  0","48  0","50  0","59  0","88  0","89   im","ARAE_ECOLI  0"
"148","34  0","49  0","48  0","50  0","58  0","85  0","80   im","ARAH_ECOLI  0"
"149","43  0","40  0","48  0","50  0","58  0","75  0","78   im","AROP_ECOLI  0"
"150","46  0","61  0","48  0","50  0","48  0","86  0","87   im","ATKB_ECOLI  0"
"151","27  0","35  0","48  0","50  0","51  0","77  0","79   im","ATP6_ECOLI  0"
"152","52  0","39  0","48  0","50  0","65  0","71  0","73   im","BETT_ECOLI  0"
"153","29  0","47  0","48  0","50  0","71  0","65  0","69   im","CODB_ECOLI  0"
"154","55  0","47  0","48  0","50  0","57  0","78  0","80   im","CYDA_ECOLI  0"
"155","12  0","67  0","48  0","50  0","74  0","58  0","63   im","CYOC_ECOLI  0"
"156","40  0","50  0","48  0","50  0","65  0","82  0","84   im","CYOD_ECOLI  0"
"157","73  0","36  0","48  0","50  0","53  0","91  0","92   im","DCTA_ECOLI  0"
"158","84  0","44  0","48  0","50  0","48  0","71  0","74   im","DHG_ECOLI   0"
"159","48  0","45  0","48  0","50  0","60  0","78  0","80   im","DHSC_ECOLI  0"
"160","54  0","49  0","48  0","50  0","40  0","87  0","88   im","DHSD_ECOLI  0"
"161","48  0","41  0","48  0","50  0","51  0","90  0","88   im","DPPC_ECOLI  0"
"162","50  0","66  0","48  0","50  0","31  0","92  0","92   im","DSBB_ECOLI  0"
"163","72  0","46  0","48  0","50  0","51  0","66  0","70   im","ENVZ_ECOLI  0"
"164","47  0","55  0","48  0","50  0","58  0","71  0","75   im","EXBB_ECOLI  0"
"165","33  0","56  0","48  0","50  0","33  0","78  0","80   im","FRDC_ECOLI  0"
"166","64  0","58  0","48  0","50  0","48  0","78  0","73   im","FRDD_ECOLI  0"
"167","54  0","57  0","48  0","50  0","56  0","81  0","83   im","FTSW_ECOLI  0"
"168","47  0","59  0","48  0","50  0","52  0","76  0","79   im","GABP_ECOLI  0"
"169","63  0","50  0","48  0","50  0","59  0","85  0","86   im","GALP_ECOLI  0"
"170","49  0","42  0","48  0","50  0","53  0","79  0","81   im","GLNP_ECOLI  0"
"171","31  0","50  0","48  0","50  0","57  0","84  0","85   im","GLPT_ECOLI  0"
"172","74  0","44  0","48  0","50  0","55  0","88  0","89   im","GLTP_ECOLI  0"
"173","33  0","45  0","48  0","50  0","45  0","88  0","89   im","KDGL_ECOLI  0"
"174","45  0","40  0","48  0","50  0","61  0","74  0","77   im","KGTP_ECOLI  0"
"175","71  0","40  0","48  0","50  0","71  0","70  0","74   im","LACY_ECOLI  0"
"176","50  0","37  0","48  0","50  0","66  0","64  0","69   im","LGT_ECOLI   0"
"177","66  0","53  0","48  0","50  0","59  0","66  0","66   im","LLDP_ECOLI  0"
"178","60  0","61  0","48  0","50  0","54  0","67  0","71   im","LNT_ECOLI   0"
"179","83  0","37  0","48  0","50  0","61  0","71  0","74   im","LSPA_ECOLI  0"
"180","34  0","51  0","48  0","50  0","67  0","90  0","90   im","LYSP_ECOLI  0"
"181","63  0","54  0","48  0","50  0","65  0","79  0","81   im","MALF_ECOLI  0"
"182","70  0","40  0","48  0","50  0","56  0","86  0","83   im","MALG_ECOLI  0"
"183","60  0","50  1","00  0","50  0","54  0","77  0","80   im","MCP3_ECOLI  0"
"184","16  0","51  0","48  0","50  0","33  0","39  0","48   im","MSBB_ECOLI  0"
"185","74  0","70  0","48  0","50  0","66  0","65  0","69   im","MTR_ECOLI   0"
"186","20  0","46  0","48  0","50  0","57  0","78  0","81   im","NANT_ECOLI  0"
"187","89  0","55  0","48  0","50  0","51  0","72  0","76   im","NHAA_ECOLI  0"
"188","70  0","46  0","48  0","50  0","56  0","78  0","73   im","NHAB_ECOLI  0"
"189","12  0","43  0","48  0","50  0","63  0","70  0","74   im","PHEP_ECOLI  0"
"190","61  0","52  0","48  0","50  0","54  0","67  0","52   im","PHOR_ECOLI  0"
"191","33  0","37  0","48  0","50  0","46  0","65  0","69   im","PNTA_ECOLI  0"
"192","63  0","65  0","48  0","50  0","66  0","67  0","71   im","POTE_ECOLI  0"
"193","41  0","51  0","48  0","50  0","53  0","75  0","78   im","PROP_ECOLI  0"
"194","34  0","67  0","48  0","50  0","52  0","76  0","79   im","PSTA_ECOLI  0"
"195","58  0","34  0","48  0","50  0","56  0","87  0","81   im","PSTC_ECOLI  0"
"196","59  0","56  0","48  0","50  0","55  0","80  0","82   im","PTAA_ECOLI  0"
"197","51  0","40  0","48  0","50  0","57  0","62  0","67   im","PTBA_ECOLI  0"
